"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18"
113;3;3;3;4;5;4;3;3;4;6;5;6;3;5;3;4;3;4
114;3;5;4;4;5;6;4;5;3;6;3;4;4;3;3;4;4;4
115;4;5;4;4;6;4;6;4;4;6;6;5;4;5;4;6;4;6
116;7;4;4;4;6;4;5;4;6;7;4;7;5;5;3;5;4;5
117;5;4;5;3;6;6;5;4;5;6;6;5;3;5;3;6;3;5
118;7;6;3;4;6;4;3;4;4;6;5;6;4;7;3;4;3;4
119;5;6;5;3;6;4;5;4;4;6;4;8;5;9;3;4;3;6
120;5;5;4;3;6;6;4;4;4;5;7;6;5;7;4;5;5;4
121;4;4;4;4;4;5;4;3;5;5;4;6;4;5;3;4;3;3
122;6;4;4;4;5;5;6;4;6;6;7;5;7;6;6;3;4;7
123;3;4;5;3;6;3;6;3;3;5;5;4;4;6;4;4;6;4
124;4;4;9;3;6;3;5;3;5;7;6;6;3;6;3;6;3;4
125;4;4;4;3;5;3;5;3;4;5;6;5;3;3;4;4;4;4
126;9;4;4;3;8;6;5;4;7;8;4;8;3;5;3;5;5;5
127;4;7;6;4;6;4;4;4;4;7;7;8;3;5;4;5;5;7
128;7;6;3;4;6;4;3;4;4;7;5;6;4;7;3;4;3;4
129;4;4;5;4;6;5;5;4;4;9;6;5;3;5;3;4;4;8
130;4;4;6;3;5;4;4;3;4;7;4;4;3;4;4;6;3;4
131;7;6;3;4;6;4;3;4;4;7;5;6;4;7;3;4;3;4
132;5;6;5;4;7;5;4;4;5;7;5;6;5;30;3;5;3;6
133;5;4;4;5;6;4;6;3;5;6;4;4;3;4;4;4;3;4
134;4;4;4;3;5;4;4;4;4;5;4;5;3;5;4;5;4;4
135;5;4;3;5;6;4;5;3;5;5;5;5;5;3;3;5;3;4
136;5;5;5;3;7;4;4;4;4;6;4;5;6;5;4;4;3;7
137;3;5;6;5;5;4;4;3;4;4;4;4;3;3;4;5;4;4
138;4;5;5;3;5;6;3;5;4;5;4;6;5;5;3;4;3;4
139;3;4;3;3;7;7;4;3;6;5;5;5;3;5;3;6;3;5
140;6;4;5;3;5;4;5;3;4;6;6;5;4;5;4;6;3;5
141;5;3;4;3;4;5;4;3;4;5;6;5;5;7;4;4;3;4
142;4;5;4;4;7;5;4;4;5;7;5;6;5;33;3;5;3;6
143;5;6;6;3;7;5;8;5;5;5;8;5;6;6;5;5;3;6
144;5;5;5;4;6;4;4;5;4;6;4;5;3;4;3;5;4;4
145;4;4;6;4;6;3;5;3;4;5;4;4;3;3;4;6;4;4
146;4;5;4;4;6;5;4;4;5;5;5;6;4;5;4;5;3;6
147;7;4;4;4;6;4;4;4;6;6;4;7;5;5;3;5;4;5
148;5;7;3;7;4;7;7;4;5;8;6;6;5;8;4;8;6;7
149;4;4;3;3;5;5;3;3;5;5;4;5;3;4;4;4;4;4
150;4;4;3;5;6;4;4;4;4;6;5;4;5;4;4;4;4;4
151;5;4;6;4;8;4;5;3;4;7;6;4;3;5;3;3;4;6
152;4;4;6;3;5;3;5;3;5;5;4;4;4;3;3;4;3;4
153;5;7;5;3;6;5;5;3;4;6;6;6;5;5;5;5;4;5
154;4;5;8;3;6;4;6;4;4;6;6;4;3;6;4;5;3;4
155;6;7;3;3;7;5;5;3;5;7;5;5;4;4;3;6;4;5
156;4;5;7;5;6;4;5;3;4;5;6;4;3;4;5;5;4;4
157;4;4;5;3;5;6;5;4;4;8;7;6;4;6;3;5;6;8
158;4;6;7;4;6;4;5;4;5;6;5;4;3;5;3;3;3;4
159;4;5;4;4;5;3;5;3;4;5;4;4;3;3;3;5;3;4
160;4;4;5;3;5;4;5;3;4;5;3;7;5;4;3;5;3;5
161;4;5;5;3;6;4;5;4;4;4;4;5;3;5;3;3;3;6
162;3;4;6;3;6;5;3;4;4;6;4;5;3;5;4;6;3;5
163;5;5;5;3;7;4;4;4;4;6;4;5;6;5;4;4;3;7
164;4;5;4;3;6;5;4;3;4;6;6;5;4;6;4;5;3;4
165;6;4;7;5;6;3;5;3;4;6;6;5;3;5;3;5;3;4
166;7;5;5;3;6;6;5;3;5;6;4;6;4;6;5;5;4;8
167;5;4;5;4;7;5;5;4;5;6;7;6;5;6;3;5;3;4
168;4;5;5;4;7;4;6;5;5;6;4;5;4;5;4;4;4;6
169;4;5;3;3;6;7;3;5;5;8;4;5;3;4;4;4;3;4
170;4;4;6;4;7;5;4;3;5;7;3;7;5;4;4;4;3;4
171;4;4;7;4;5;4;5;3;5;5;6;4;3;4;3;4;3;5
172;5;5;4;5;6;7;5;4;4;7;5;7;4;5;4;6;4;5
173;4;5;6;3;5;6;4;5;4;5;4;6;5;5;3;4;3;5
174;4;4;5;3;5;4;5;3;4;5;3;7;5;4;3;5;3;5
175;7;4;6;5;9;7;3;5;4;8;5;5;4;4;3;4;6;5
176;3;4;4;4;5;6;4;4;7;9;7;7;3;7;4;6;6;6
177;4;3;4;4;6;4;5;3;4;7;4;4;4;5;3;5;3;6
178;7;5;6;5;6;5;4;3;4;5;5;5;4;5;5;6;3;6
179;4;4;5;3;5;4;5;4;4;5;4;5;3;5;4;5;4;5
180;5;5;5;4;6;7;5;4;6;6;7;5;4;5;4;4;3;6
181;5;5;5;3;6;6;5;4;4;5;7;6;5;7;4;5;5;5
182;4;5;4;3;5;7;5;4;5;5;4;6;4;6;5;5;3;7
183;4;5;6;4;7;4;7;4;6;7;5;5;3;5;4;6;7;7
184;4;4;6;4;5;4;5;3;4;6;4;5;3;3;3;4;3;3
185;5;5;4;4;6;4;4;4;4;5;4;5;4;4;5;4;3;7
186;6;5;4;4;5;4;4;4;4;5;5;6;4;6;4;5;3;4
